parameter,constr,definition,imu,ilo,ihi,omu,olo,ohi
t0_hiv,,year of HIV introduction to Eswatini,1982.5,1980.1,1984.9,1982.3,1980.1,1984.9
PX_w_fsw,,proportion of women who are FSW,0.0288,0.00703,0.065,0.0443,0.0198,0.0773
PX_w_h,,proportion of women who have 2+ partners in p12m,0.178,0.0961,0.278,0.185,0.106,0.279
PX_m_m,,proportion of men who have 2+ partners in p12m,0.133,0.1,0.17,0.133,0.1,0.17
dur_fsw_l,,duration in sex work among lower risk FSW,4.12,2.96,5.48,3.97,2.86,5.13
dur_fsw_h,,duration in sex work among higher risk FSW,9.41,6.3,13.1,9.31,6.32,13.0
dur_cli,,duration buying sex among clients,8.63,4.0,15.0,8.32,3.73,14.4
turn_xm_xl,,turnover rate from medium to lowest activity (women and men),0.216,0.05,0.5,0.206,0.058,0.464
Pturn_fsw_m:l,,proportion of FSW who transition to medium activity,0.724,0.503,0.898,0.721,0.482,0.89
Pturn_cli_m:l,,proportion of clients who transition to medium activity,0.602,0.249,0.9,0.587,0.252,0.893
growth_2050,,rate of Eswatini population growth in 2050,0.011,0.0072,0.0148,0.011,0.00723,0.0148
C12m_msp_xl,,number of main/spousal partners in p12m among lowest activity,0.37,0.251,0.498,0.382,0.265,0.507
C12m_cas_xl,,number of casual partners in p12m among lowest activity,0.366,0.201,0.549,0.377,0.22,0.552
C12m_cas_wm,,number of casual partners in p12m among medium activity women,1.58,1.2,2.0,1.62,1.24,2.02
RC_cas_cli:wm,,relative casual partners among clients vs medium activity women,0.625,0.269,0.981,0.702,0.285,0.99
C1m_swo_fsw_l,,number of occasional sex work partners in p1m among lower risk FSW,4.06,2.5,6.0,4.08,2.45,6.0
C1m_swr_fsw_l,,number of regular sex work partners in p1m among lower risk FSW,6.93,5.0,9.17,7.0,5.04,9.12
RC_swo_fsw_h:l,,relative occasional sex work partners among higher vs lower risk FSW,2.02,1.59,2.5,2.03,1.61,2.51
RC_swr_fsw_h:l,,relative regular sex work partners among higher vs lower risk FSW,1.49,1.3,1.7,1.5,1.31,1.71
KF_swx_cli,,rate of visiting FSW (sex acts) among clients overall,59.3,35.0,90.0,59.7,36.3,87.1
RKF_swx_cli_h:l,,relative visits (sex acts) among higher vs lower risk clients,2.03,1.6,2.5,2.04,1.59,2.55
F_msp,,rate of sex acts in main/spousal partnerships,77.3,26.0,156.0,100.0,44.5,171.0
RF_cas:msp,,relative rate of sex acts in casual vs main/spousal partnerships,0.75,0.512,0.988,0.792,0.526,0.99
dur_msp,,duration of main/spousal partnerships,16.5,14.6,18.4,16.5,14.6,18.4
dur_cas,,duration of casual partnerships,0.743,0.25,1.5,0.833,0.353,1.59
dur_swr,,duration of regular sex work partnerships,1.13,0.5,2.0,1.11,0.494,2.08
F_swr,a,rate of sex acts in regular sex work partnerships,24.0,12.6,35.4,24.4,12.9,35.5
PF_ai,,proportion of sex acts which are anal in all partnerships,0.0573,0.00603,0.165,0.0694,0.00854,0.186
pref_msp_xl,,log-odds of main/spousal partnership formation among lowest activity,2.19,1.5,3.0,2.19,1.43,2.97
pref_mcx_swx,,log-odds of non-sex work partnership formation among FSW and clients,8.3,2.0,19.0,8.04,1.81,18.5
Rbeta_condom,,relative per-act probability of HIV transmission with a condom,0.734,0.571,0.869,0.74,0.578,0.865
RPF_condom_a:v,,relative condom use in anal vs vaginal sex,0.768,0.504,0.949,0.768,0.509,0.954
RPF_condom_1996,,relative condom use in all partnerships in 1996 vs 2002 or 2006,0.5,0.025,0.975,0.495,0.0322,0.976
PF_condom_msp_2006,b,condom use in main/spousal partnerships in 2006,0.23,0.153,0.317,0.23,0.155,0.316
PF_condom_msp_2016,b,condom use in main/spousal partnerships in 2006,0.416,0.308,0.529,0.412,0.309,0.524
PF_condom_cas_2006,b,condom use in casual partnerships in 2006,0.598,0.501,0.692,0.591,0.495,0.676
PF_condom_cas_2016,b,condom use in casual partnerships in 2016,0.694,0.601,0.78,0.697,0.609,0.777
PF_condom_swo_2002,b,condom use in occasional sex work partnerships in 2002,0.432,0.148,0.744,0.492,0.249,0.736
PF_condom_swo_2011,b,condom use in occasional sex work partnerships in 2011,0.777,0.581,0.923,0.793,0.66,0.899
PF_condom_swo_2014,b,condom use in occasional sex work partnerships in 2014,0.787,0.547,0.95,0.885,0.782,0.968
PF_condom_swr_2002,b,condom use in regular sex work partnerships in 2002,0.337,0.118,0.603,0.294,0.105,0.501
PF_condom_swr_2011,b,condom use in regular sex work partnerships in 2011,0.754,0.568,0.9,0.68,0.526,0.806
PF_condom_swr_2014,b,condom use in regular sex work partnerships in 2014,0.759,0.481,0.949,0.786,0.641,0.909
PF_circum_2050,,prevalence of circumcision by 2050,0.724,0.503,0.898,0.726,0.496,0.897
beta_0,,per-act probability of HIV transmission $\beta$ for \cdf{350}{} (REF),0.00131,0.000498,0.00251,0.00174,0.000934,0.00288
Rbeta_acute,c,relative $\beta$ during acute infection,6.01,1.11,15.0,9.12,3.65,18.1
Rbeta_350,,relative $\beta$ for \cdf{200}{350},1.59,1.3,1.9,1.59,1.32,1.91
Rbeta_200,,relative $\beta$ for \cdf{}{350},8.2,4.5,13.0,8.29,4.61,12.9
Rbeta_vi_rec,,relative $\beta$ for receptive vaginal sex,1.5,1.02,1.98,1.49,1.02,1.97
aRbeta_gud_sus,,additional relative $\beta$ for GUD among susceptible partner,2.05,0.2,6.0,2.59,0.35,6.65
aRbeta_gud_inf,,additional relative $\beta$ for GUD among infectious partner,0.99,0.2,2.4,1.16,0.264,2.6
dur_acute,c,duration of acute infection,0.172,0.0174,0.5,0.3,0.101,0.662
P_gud_fsw_l,d,prevalence of GUD among lower risk FSW,0.232,0.1,0.399,0.228,0.111,0.359
RP_gud_fsw_h:l,d,relative prevalence of GUD among higher vs lower risk FSW,3.0,1.5,5.0,2.86,1.52,4.42
RP_gud_2050,,relative prevalence of GUD overall in 2050 vs 2020,0.6,0.22,0.98,0.607,0.22,0.984
iP_gud_h:l,,interpolator for GUD among medium activity vs DHS and FSW,0.5,0.025,0.975,0.465,0.0205,0.971
Rbeta_uvls,,relative $\beta$ on ART but before VLS,0.244,0.0139,0.656,0.245,0.0146,0.664
Rdx_global,,relative rate of diagnosis overall,0.75,0.512,0.988,0.67,0.507,0.927
dx_w_2002,,rate of diagnosis among women in 2002,0.094,0.0452,0.158,0.094,0.0447,0.156
dx_w_2006,,rate of diagnosis among women in 2006,0.248,0.169,0.337,0.246,0.17,0.332
Rdx_m:w_2006,,relative rate of diagnosis among men vs women in 2006,0.377,0.207,0.597,0.382,0.213,0.603
dx_wq_2011,,rate of diagnosis among non-FSW women in 2011,0.637,0.466,0.834,0.611,0.463,0.791
Rdx_m:wq_2011,,relative rate of diagnosis among men vs non-FSW women in 2011,0.529,0.351,0.742,0.508,0.343,0.704
aRdx_fsw:wq_2011,,additional relative diagnosis among FSW vs non-FSW women in 2011,0.521,0.206,0.98,0.518,0.213,0.966
aRdx_wq_16:11,,additional relative diagnosis among non-FSW women in 2016 vs 2011,0.204,0.118,0.313,0.2,0.12,0.307
aRdx_fsw:wq_2016,,additional relative diagnosis among FSW vs non-FSW women in 2016,0.619,0.291,1.07,0.614,0.289,1.02
tx_2010,,rate of ART initiation among diagnosed and eligible in 2010,1.5,0.509,3.02,1.46,0.547,2.76
tx_2012,,rate of ART initiation among diagnosed and eligible in 2012,8.75,6.01,12.0,8.62,5.94,11.8
Rtx_fsw:wq,,relative rate of ART initiation among FSW vs non-FSW women,0.75,0.512,0.988,0.75,0.517,0.985
ivx,,duration on ART before achieving VLS initially,0.62,0.33,1.0,0.642,0.368,1.02
Runvx_m:wq,,relative rate of viral unsuppression among men vs non-FSW women,1.25,1.01,1.49,1.25,1.01,1.48
Runvx_fsw:wq,,relative rate of viral unsuppression among FSW vs non-FSW women,1.25,1.01,1.49,1.26,1.01,1.49
revx_2010,,rate of viral re-suppression in 2010,0.729,0.5,1.0,0.708,0.495,0.964
